UserID,Date,Category,Description,Amount
1,2024-09-23,Healthcare,Seven coach his gas.,268.86
1,2025-09-04,Miscellaneous,Institution among kitchen land major hope return item.,121.45
1,2025-01-30,Healthcare,Forget garden particularly news hear.,10.29
1,2025-03-13,Healthcare,Camera above big actually book.,283.77
1,2025-01-31,Miscellaneous,Network whose education call.,443.71
1,2024-10-07,Rent,Involve senior social age.,289.46
1,2025-05-16,Transport,Despite occur minute statement.,19.94
1,2025-03-17,Transport,Enter let together trial sign half rich employee.,458.22
1,2025-09-10,Utilities,Physical friend necessary life.,286.4
1,2025-03-01,Rent,First hear these say.,375.46
1,2025-02-21,Rent,Husband second so couple parent character.,72.25
1,2024-12-06,Rent,Learn moment source plan office medical last.,466.63
1,2025-07-09,Utilities,Represent reason low reveal now which agency want.,9.81
1,2025-09-10,Education,Hope space agree work enjoy deep air.,37.9
1,2025-03-22,Dining,Police less price task true performance.,120.09
1,2025-02-12,Miscellaneous,Attack nature specific change single word direction.,124.58
1,2025-05-15,Dining,Bar cost wait husband who.,39.5
1,2025-03-11,Transport,More you focus.,367.63
1,2025-01-05,Clothing,Future share especially customer conference.,481.74
2,2024-09-25,Education,Single sing end energy gas take down.,486.7
2,2025-03-10,Groceries,Small heart tough gas majority.,283.97
2,2024-12-23,Transport,Church speech sign man would white.,386.07
2,2024-11-21,Healthcare,Debate early improve price.,329.54
2,2025-03-11,Healthcare,What writer least modern explain decision author.,157.47
2,2025-08-14,Utilities,Heart past fact shoulder forget.,161.94
2,2024-12-15,Groceries,Compare race mouth page.,442.45
2,2024-12-03,Education,Ready above despite part quality since hospital.,171.07
2,2025-03-25,Rent,Join how magazine loss shoulder serve total.,415.89
2,2025-05-12,Education,Coach evening outside decide.,56.77
2,2024-10-12,Healthcare,Most event decision nation exactly author pressure.,179.5
2,2024-11-27,Utilities,Cold detail clearly pressure throughout.,249.69
2,2025-02-21,Dining,Campaign I increase whom billion mission.,362.47
2,2025-03-26,Education,Imagine teacher as at know director discover how.,303.6
2,2024-10-04,Healthcare,Road huge of smile.,381.54
2,2025-05-22,Dining,Scientist building support federal expect inside.,483.96
2,2025-08-01,Healthcare,Little allow he tell follow almost.,236.05
2,2025-06-07,Healthcare,Will as white system team.,432.63
2,2024-10-02,Dining,Worry crime to behavior future ball your.,495.68
2,2025-05-30,Entertainment,Audience job role film nothing risk.,139.58
2,2025-03-11,Groceries,Matter career wind five.,83.92
2,2024-12-05,Entertainment,Organization compare hope result thank house.,101.5
2,2024-10-31,Dining,Race age travel Mr far.,200.46
2,2025-08-22,Healthcare,West off by process also film.,280.45
2,2025-09-06,Education,Set high pay government.,310.62
3,2025-01-29,Transport,Everyone risk event if raise particular.,251.64
3,2025-01-21,Dining,Out again political party partner prove look window.,188.82
3,2024-10-04,Transport,Green age finish at week talk.,169.07
3,2024-10-16,Transport,Yes run tree live sell kitchen.,205.59
3,2025-04-27,Rent,Serious here soon ten important.,93.7
3,2025-01-26,Dining,Student lawyer none professor age protect.,130.66
3,2025-06-11,Entertainment,Word station key treat court evening.,106.07
3,2025-09-03,Transport,Who affect group across everything describe specific.,370.29
3,2025-03-21,Groceries,Much economy whether quite court share.,189.56
3,2025-06-14,Transport,Success teach who experience.,289.19
3,2024-09-20,Dining,Serve guess member step door.,98.12
3,2025-06-05,Dining,Owner relationship since act name represent.,276.0
3,2025-03-19,Healthcare,Different as particularly.,98.98
3,2025-05-06,Clothing,Down you make significant.,157.33
3,2024-10-26,Transport,Say relationship fine discuss where.,141.64
3,2024-09-28,Education,Lay remember ten quite police.,108.71
3,2024-10-17,Education,Main represent with address coach.,62.72
3,2025-03-05,Healthcare,Buy peace manage station.,185.96
3,2024-10-24,Rent,Radio light tree coach.,392.55
3,2025-02-14,Miscellaneous,Free call go loss political meeting need.,175.67
3,2024-11-17,Rent,Animal yet various protect.,124.39
3,2025-04-21,Clothing,Network reveal tough with just generation less.,101.79
